rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
312,Comcast (Xfinity),Pierce Pepin Cooperative Services,Pierce Pepin Cooperative Services,714,0.002,8669,8.236,714,0
313,Comcast (Xfinity),Wabash Mutual Telephone Company,Wabash Mutual Telephone Company,699,0.002,11632,6.009,699,0
314,Comcast (Xfinity),"LaHarpe Telephone Company, Inc. (IL)","LaHarpe Telephone Company, Inc. (IL)",654,0.002,1273,51.375,654,0
315,Comcast (Xfinity),"Tekify, LLC","Tekify, LLC",639,0.002,647,98.764,639,0
316,Comcast (Xfinity),Mifflin County Wireless,Mifflin County Wireless,630,0.002,631,99.842,630,0
317,Comcast (Xfinity),Citizens Telephone Cooperative (VA),Citizens Telephone Cooperative (VA),618,0.002,14074,4.391,616,2
318,Comcast (Xfinity),"connectSCP, LLC","connectSCP, LLC",584,0.002,11498,5.079,584,0
319,Comcast (Xfinity),Yeoman Telephone Company,Yeoman Telephone Company,575,0.001,693,82.973,575,0
320,Comcast (Xfinity),Sebewaing Light and Water,Sebewaing Light and Water,567,0.001,605,93.719,567,0
321,Comcast (Xfinity),"Eastern Slope Rural Telephone Association, Inc.","Eastern Slope Rural Telephone Association, Inc.",560,0.001,5063,11.061,560,0
322,Comcast (Xfinity),"Air Advantage, LLC","Air Advantage, LLC",555,0.001,2398,23.144,555,0
323,Comcast (Xfinity),"Baldwin Telecom, Inc.","Baldwin Telecom, Inc.",540,0.001,11849,4.557,540,0
324,Comcast (Xfinity),"Clearnetworx, LLC","Clearnetworx, LLC",517,0.001,42928,1.204,517,0
325,Comcast (Xfinity),Bijou Telephone Cooperative Association Inc.,Bijou Telephone Cooperative Association Inc.,509,0.001,1909,26.663,509,0
326,Comcast (Xfinity),Thumb Electric Cooperative,Thumb Electric Cooperative,508,0.001,16635,3.054,508,0
327,Comcast (Xfinity),Jasper County Rural Electric Membership Corporation,Jasper County Rural Electric Membership Corporation,481,0.001,4916,9.784,481,0
328,Comcast (Xfinity),Sand Creek Communications Company,Sand Creek Communications Company,437,0.001,1370,31.898,437,0
329,Comcast (Xfinity),Patriot Cable System LLC,Patriot Cable System LLC,430,0.001,826,52.058,0,430
330,Comcast (Xfinity),SMR Communications,SMR Communications,405,0.001,953,42.497,0,405
331,Comcast (Xfinity),New Hope Telephone Cooperative (VA),New Hope Telephone Cooperative (VA),394,0.001,1070,36.822,394,0
332,Comcast (Xfinity),"Kinex Telecom, Inc.","Kinex Telecom, Inc.",392,0.001,7274,5.389,392,0
333,Comcast (Xfinity),"Great Lakes Energy Connections, Inc.","Great Lakes Energy Connections, Inc.",380,0.001,64091,0.593,380,0
334,Comcast (Xfinity),"Dunbarton Telephone Company, Inc.","Dunbarton Telephone Company, Inc.",360,0.001,1486,24.226,360,0
335,Comcast (Xfinity),Geetingsville Telephone Company Inc.,Geetingsville Telephone Company Inc.,351,0.001,1099,31.938,351,0
336,Comcast (Xfinity),Surfnet Communications,Surfnet Communications,339,0.001,3455,9.812,339,0
337,Comcast (Xfinity),"iGo Technology, Inc.","iGo Technology, Inc.",324,0.001,2852,11.36,324,0
338,Comcast (Xfinity),"Visionary Communications, Inc.","Visionary Communications, Inc.",303,0.001,49399,0.613,303,0
339,Comcast (Xfinity),Lincolnville Telephone Company,Lincolnville Telephone Company,288,0.001,11214,2.568,288,0
340,Comcast (Xfinity),Red Spectrum Communications LLC,Red Spectrum Communications LLC,286,0.001,1609,17.775,286,0
341,Comcast (Xfinity),"Fiber Broadband, Inc.","Fiber Broadband, Inc.",285,0.001,319,89.342,285,0
342,Comcast (Xfinity),Uplink Internet LLC,Uplink Internet LLC,256,0.001,2925,8.752,256,0
343,Comcast (Xfinity),Aerux LLP,Aerux LLP,238,0.001,631,37.718,238,0
344,Comcast (Xfinity),Biddeford Internet Corporation,Biddeford Internet Corporation,236,0.001,1927,12.247,236,0
